flex1,flex2,flex3,flex4,flex5,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
0.0,0.0,30.0,2505.0,41.0,10780.0,4024.0,11488.0,-2237.0,713.0,5200.0,hi
0.0,0.0,22.0,2496.0,24.0,10768.0,-336.0,12340.0,-1990.0,958.0,5059.0,hi
0.0,0.0,13.0,2518.0,28.0,10372.0,-3548.0,13976.0,-733.0,-783.0,-633.0,hi
0.0,0.0,30.0,2512.0,48.0,10740.0,-196.0,12316.0,956.0,-2071.0,-5656.0,hi
30.0,0.0,22.0,2519.0,45.0,11364.0,4276.0,11160.0,290.0,-1416.0,-4637.0,hi
69.0,0.0,31.0,2511.0,30.0,11236.0,6468.0,11056.0,-909.0,-187.0,1133.0,hi
60.0,0.0,27.0,2495.0,37.0,10992.0,3152.0,11584.0,-2183.0,1474.0,5461.0,hi
0.0,0.0,25.0,2512.0,31.0,10156.0,-1124.0,13176.0,-1057.0,1293.0,4093.0,hi
0.0,0.0,7.0,2491.0,48.0,10300.0,-1980.0,13576.0,-89.0,-886.0,-1933.0,hi
0.0,0.0,14.0,2493.0,34.0,10556.0,1060.0,12664.0,1162.0,-2160.0,-5488.0,hi
3.0,0.0,8.0,2496.0,48.0,10828.0,4996.0,11512.0,566.0,-1688.0,-4115.0,hi
53.0,0.0,33.0,2512.0,31.0,11176.0,6500.0,10892.0,-1286.0,328.0,2501.0,hi
50.0,0.0,1.0,2511.0,45.0,11048.0,3100.0,11872.0,-2085.0,1494.0,5309.0,hi
0.0,0.0,21.0,2512.0,33.0,10696.0,-1012.0,13224.0,-2316.0,488.0,3228.0,hi
0.0,0.0,28.0,2512.0,53.0,10656.0,-1644.0,13140.0,446.0,-1124.0,-2145.0,hi
0.0,0.0,10.0,2516.0,33.0,10944.0,2120.0,12332.0,1165.0,-1782.0,-5098.0,hi
0.0,0.0,16.0,2495.0,46.0,11044.0,4872.0,11432.0,853.0,-1401.0,-3134.0,hi
